txnid,payer_id,payee_id,amount,status,respcd,remi_bank,bene_bank,txntimestamp,date
TXN000001,8498,7249,9082.03,PENDING,,BOB,UOB,2024-10-16 14:36:33.580274,2024-10-16
TXN000002,4933,4908,836.08,FAILED,12.0,UOB,BOB,2024-11-19 12:58:28.580274,2024-11-19
TXN000003,2002,7687,3363.66,SUCCESS,,UOB,AXB,2025-06-14 18:10:31.580274,2025-06-14
TXN000004,9769,3247,3884.56,SUCCESS,,PNB,SBI,2024-08-09 17:05:59.580274,2024-08-09
TXN000005,3687,9344,3537.82,SUCCESS,,BOB,PNB,2024-09-08 10:16:31.580274,2024-09-08
TXN000006,4887,8950,4962.71,SUCCESS,,BOB,HDF,2024-09-22 05:58:15.580274,2024-09-22
TXN000007,2079,6696,1303.87,FAILED,5.0,UOB,UOB,2025-02-03 02:59:54.580274,2025-02-03
TXN000008,8996,6295,1497.7,PENDING,,PNB,BOB,2025-07-05 15:33:23.580274,2025-07-05
TXN000009,7937,5852,1846.13,SUCCESS,,PNB,SBI,2025-03-12 13:12:44.580274,2025-03-12
TXN000010,3149,9127,7057.47,PENDING,,BOB,HDF,2024-11-05 02:28:26.580274,2024-11-05
TXN000011,6623,3885,1278.98,PENDING,,UOB,SBI,2024-08-06 02:22:14.580274,2024-08-06
TXN000012,4064,9674,5520.19,SUCCESS,,HDF,SBI,2024-10-23 08:53:29.580274,2024-10-23
TXN000013,2861,6456,8960.52,SUCCESS,,UOB,BOB,2025-06-27 03:02:34.580274,2025-06-27
TXN000014,6849,8185,6894.37,SUCCESS,,BOB,SBI,2025-03-12 06:03:56.580274,2025-03-12
TXN000015,2505,5998,7871.31,PENDING,,UOB,SBI,2025-01-02 03:15:25.580274,2025-01-02
TXN000016,6515,8603,6933.92,FAILED,5.0,SBI,HDF,2025-02-21 10:10:39.580274,2025-02-21
TXN000017,5740,5071,6703.77,FAILED,51.0,SBI,HDF,2024-12-06 17:52:42.580274,2024-12-06
TXN000018,9623,8959,7380.14,SUCCESS,,UOB,HDF,2024-10-13 10:40:04.580274,2024-10-13
TXN000019,8858,5216,5209.17,SUCCESS,,UOB,UOB,2024-08-07 22:37:20.580274,2024-08-07
TXN000020,7689,3245,6568.75,FAILED,51.0,UOB,AXB,2024-08-21 05:01:58.580274,2024-08-21
TXN000021,7679,7037,9368.67,SUCCESS,,AXB,SBI,2025-03-16 02:15:33.580274,2025-03-16
TXN000022,4233,6234,5406.09,SUCCESS,,SBI,PNB,2024-07-29 21:42:10.580274,2024-07-29
TXN000023,8339,1836,2242.93,SUCCESS,,BOB,SBI,2024-12-18 07:52:50.580274,2024-12-18
TXN000024,3331,1608,953.67,SUCCESS,,AXB,AXB,2024-11-27 03:20:41.580274,2024-11-27
TXN000025,5488,4714,4311.43,SUCCESS,,SBI,BOB,2024-09-18 00:05:05.580274,2024-09-18
TXN000026,2779,4925,2763.19,SUCCESS,,BOB,HDF,2024-07-30 05:18:02.580274,2024-07-30
TXN000027,9464,8086,5163.29,SUCCESS,,PNB,SBI,2025-05-03 13:15:44.580274,2025-05-03
TXN000028,6405,5882,1720.29,SUCCESS,,PNB,UOB,2024-08-08 01:03:06.580274,2024-08-08
TXN000029,2429,6053,1363.29,SUCCESS,,SBI,SBI,2025-04-16 09:51:52.580274,2025-04-16
TXN000030,9233,1222,5551.76,FAILED,51.0,UOB,PNB,2025-04-01 00:29:23.580274,2025-04-01
TXN000031,5677,5959,8841.34,SUCCESS,,PNB,SBI,2024-08-25 07:02:57.580274,2024-08-25
TXN000032,7384,2111,1513.69,SUCCESS,,HDF,SBI,2025-06-29 04:15:48.580274,2025-06-29
TXN000033,4271,4576,5279.55,SUCCESS,,PNB,SBI,2025-02-05 09:09:08.580274,2025-02-05
TXN000034,9767,6244,2231.73,SUCCESS,,HDF,UOB,2025-06-22 03:28:22.580274,2025-06-22
TXN000035,6846,1991,8205.35,SUCCESS,,SBI,UOB,2025-03-01 21:40:14.580274,2025-03-01
TXN000036,4763,9312,5508.97,SUCCESS,,UOB,HDF,2025-03-22 14:41:49.580274,2025-03-22
TXN000037,8226,3653,7950.18,SUCCESS,,SBI,AXB,2024-11-03 03:04:04.580274,2024-11-03
TXN000038,9517,1581,3529.52,SUCCESS,,UOB,HDF,2024-10-12 04:14:53.580274,2024-10-12
TXN000039,2447,2892,1472.61,PENDING,,BOB,SBI,2024-10-10 20:20:18.580274,2024-10-10
TXN000040,9090,1174,6980.86,SUCCESS,,BOB,SBI,2025-03-03 16:37:48.580274,2025-03-03
TXN000041,3542,3968,6032.87,FAILED,12.0,AXB,UOB,2025-02-26 14:53:45.580274,2025-02-26
TXN000042,7734,6295,5377.25,SUCCESS,,SBI,BOB,2024-07-23 00:20:54.580274,2024-07-23
TXN000043,6520,3137,9289.5,SUCCESS,,HDF,AXB,2024-09-24 22:49:37.580274,2024-09-24
TXN000044,8241,4579,5066.2,SUCCESS,,SBI,HDF,2024-12-13 02:08:47.580274,2024-12-13
TXN000045,4468,2305,6803.06,SUCCESS,,AXB,PNB,2024-12-29 20:18:43.580274,2024-12-29
TXN000046,1448,8302,83.34,SUCCESS,,UOB,UOB,2024-12-09 14:51:38.580274,2024-12-09
TXN000047,9673,3521,5729.34,SUCCESS,,UOB,UOB,2024-07-20 07:31:28.580274,2024-07-20
TXN000048,5490,8143,9969.26,SUCCESS,,HDF,SBI,2025-04-20 21:50:33.580274,2025-04-20
TXN000049,2523,3613,6805.67,SUCCESS,,BOB,PNB,2024-10-19 07:29:00.580274,2024-10-19
TXN000050,3304,8419,8242.53,FAILED,5.0,HDF,BOB,2024-08-09 16:38:55.580274,2024-08-09
TXN000051,9247,5399,3554.16,SUCCESS,,PNB,UOB,2024-08-30 03:44:54.580274,2024-08-30
